TIMESTAMP: 14.900000, X: 9.907122, Y: 8.016977, Z: -0.668271, PITCH: 0.395552, YAW: -2.322513
TIMESTAMP: 15.000000, X: 10.023947, Y: 7.939164, Z: -0.535763, PITCH: 0.388420, YAW: -2.332214
TIMESTAMP: 15.100000, X: 10.141541, Y: 7.862082, Z: -0.404623, PITCH: 0.381272, YAW: -2.341938
TIMESTAMP: 15.200000, X: 10.259960, Y: 7.785617, Z: -0.274920, PITCH: 0.374140, YAW: -2.351640
TIMESTAMP: 15.300000, X: 10.379259, Y: 7.709646, Z: -0.146712, PITCH: 0.367017, YAW: -2.361330
TIMESTAMP: 15.400000, X: 10.499493, Y: 7.634039, Z: -0.020053, PITCH: 0.359885, YAW: -2.371032
TIMESTAMP: 15.500000, X: 10.620715, Y: 7.558661, Z: 0.105015, PITCH: 0.352747, YAW: -2.380741
TIMESTAMP: 15.600000, X: 10.742975, Y: 7.483373, Z: 0.228456, PITCH: 0.345615, YAW: -2.390443
TIMESTAMP: 15.700000, X: 10.866320, Y: 7.408031, Z: 0.350243, PITCH: 0.338487, YAW: -2.400140
TIMESTAMP: 15.800000, X: 10.990795, Y: 7.332492, Z: 0.470357, PITCH: 0.331355, YAW: -2.409841
TIMESTAMP: 15.900000, X: 11.116439, Y: 7.256611, Z: 0.588787, PITCH: 0.324220, YAW: -2.419548
TIMESTAMP: 16.000000, X: 11.243286, Y: 7.180247, Z: 0.705528, PITCH: 0.317087, YAW: -2.429251
TIMESTAMP: 16.100000, X: 11.371364, Y: 7.103261, Z: 0.820584, PITCH: 0.309959, YAW: -2.438947
TIMESTAMP: 16.200000, X: 11.500697, Y: 7.025517, Z: 0.933965, PITCH: 0.302828, YAW: -2.448646
TIMESTAMP: 16.300000, X: 11.631299, Y: 6.946886, Z: 1.045688, PITCH: 0.295689, YAW: -2.458358
TIMESTAMP: 16.400000, X: 11.763178, Y: 6.867247, Z: 1.155778, PITCH: 0.288554, YAW: -2.468064
TIMESTAMP: 16.500000, X: 11.896334, Y: 6.786487, Z: 1.264265, PITCH: 0.281435, YAW: -2.477748
TIMESTAMP: 16.600000, X: 12.030757, Y: 6.704502, Z: 1.371185, PITCH: 0.274309, YAW: -2.487442
TIMESTAMP: 16.700000, X: 12.166430, Y: 6.621202, Z: 1.476580, PITCH: 0.267152, YAW: -2.497177
TIMESTAMP: 16.800000, X: 12.303324, Y: 6.536505, Z: 1.580499, PITCH: 0.260010, YAW: -2.506893
TIMESTAMP: 16.900000, X: 12.441404, Y: 6.450348, Z: 1.682993, PITCH: 0.252922, YAW: -2.516534
TIMESTAMP: 17.000000, X: 12.580619, Y: 6.362677, Z: 1.784120, PITCH: 0.245810, YAW: -2.526210
TIMESTAMP: 17.100000, X: 12.720913, Y: 6.273458, Z: 1.883941, PITCH: 0.238595, YAW: -2.536023
TIMESTAMP: 17.200000, X: 12.862216, Y: 6.182671, Z: 1.982524, PITCH: 0.231429, YAW: -2.545772
TIMESTAMP: 17.300000, X: 13.004448, Y: 6.090314, Z: 2.079936, PITCH: 0.224442, YAW: -2.555277
TIMESTAMP: 17.400000, X: 13.147517, Y: 5.996403, Z: 2.176250, PITCH: 0.217355, YAW: -2.564917
TIMESTAMP: 17.500000, X: 13.291322, Y: 5.900971, Z: 2.271543, PITCH: 0.210041, YAW: -2.574867
TIMESTAMP: 17.600000, X: 13.435749, Y: 5.804071, Z: 2.365892, PITCH: 0.203276, YAW: -2.584068
TIMESTAMP: 17.700000, X: 13.580674, Y: 5.705776, Z: 2.459376, PITCH: 0.197574, YAW: -2.591825
TIMESTAMP: 17.800000, X: 13.725963, Y: 5.606175, Z: 2.552079, PITCH: 0.192168, YAW: -2.599179
TIMESTAMP: 17.900000, X: 13.871470, Y: 5.505378, Z: 2.644082, PITCH: 0.186358, YAW: -2.607083
TIMESTAMP: 18.000000, X: 14.017040, Y: 5.403515, Z: 2.735470, PITCH: 0.180384, YAW: -2.615209
TIMESTAMP: 18.100000, X: 14.162509, Y: 5.300732, Z: 2.826327, PITCH: 0.174612, YAW: -2.623060
TIMESTAMP: 18.200000, X: 14.307704, Y: 5.197195, Z: 2.916737, PITCH: 0.168929, YAW: -2.630792
TIMESTAMP: 18.300000, X: 14.452442, Y: 5.093087, Z: 3.006783, PITCH: 0.163138, YAW: -2.638669
TIMESTAMP: 18.400000, X: 14.596533, Y: 4.988607, Z: 3.096550, PITCH: 0.157301, YAW: -2.646610
TIMESTAMP: 18.500000, X: 14.739782, Y: 4.883971, Z: 3.186119, PITCH: 0.151520, YAW: -2.654473
TIMESTAMP: 18.600000, X: 14.881985, Y: 4.779410, Z: 3.275570, PITCH: 0.145765, YAW: -2.662302
TIMESTAMP: 18.700000, X: 15.022935, Y: 4.675170, Z: 3.364982, PITCH: 0.139979, YAW: -2.670172
TIMESTAMP: 18.800000, X: 15.162417, Y: 4.571509, Z: 3.454431, PITCH: 0.134180, YAW: -2.678061
TIMESTAMP: 18.900000, X: 15.300217, Y: 4.468697, Z: 3.543990, PITCH: 0.128397, YAW: -2.685928
TIMESTAMP: 19.000000, X: 15.436114, Y: 4.367016, Z: 3.633729, PITCH: 0.122621, YAW: -2.693785
TIMESTAMP: 19.100000, X: 15.569887, Y: 4.266756, Z: 3.723716, PITCH: 0.116836, YAW: -2.701653
TIMESTAMP: 19.200000, X: 15.701316, Y: 4.168215, Z: 3.814014, PITCH: 0.111049, YAW: -2.709528
TIMESTAMP: 19.300000, X: 15.830177, Y: 4.071700, Z: 3.904681, PITCH: 0.105265, YAW: -2.717395
TIMESTAMP: 19.400000, X: 15.956252, Y: 3.977522, Z: 3.995774, PITCH: 0.099482, YAW: -2.725260
TIMESTAMP: 19.500000, X: 16.079320, Y: 3.885994, Z: 4.087341, PITCH: 0.093698, YAW: -2.733128
TIMESTAMP: 19.600000, X: 16.199168, Y: 3.797434, Z: 4.179428, PITCH: 0.087915, YAW: -2.740998
TIMESTAMP: 19.700000, X: 16.315584, Y: 3.712158, Z: 4.272076, PITCH: 0.082132, YAW: -2.748866
TIMESTAMP: 19.800000, X: 16.428364, Y: 3.630485, Z: 4.365319, PITCH: 0.076344, YAW: -2.756732
TIMESTAMP: 19.900000, X: 16.537307, Y: 3.552728, Z: 4.459187, PITCH: 0.070559, YAW: -2.764599
TIMESTAMP: 20.000000, X: 16.642222, Y: 3.479198, Z: 4.553702, PITCH: 0.064782, YAW: -2.772471
TIMESTAMP: 20.100000, X: 16.742926, Y: 3.410198, Z: 4.648883, PITCH: 0.059001, YAW: -2.780340
TIMESTAMP: 20.200000, X: 16.839243, Y: 3.346026, Z: 4.744740, PITCH: 0.053203, YAW: -2.788202
TIMESTAMP: 20.300000, X: 16.931010, Y: 3.286972, Z: 4.841280, PITCH: 0.047414, YAW: -2.796068
TIMESTAMP: 20.400000, X: 17.018074, Y: 3.233312, Z: 4.938501, PITCH: 0.041657, YAW: -2.803947
TIMESTAMP: 20.500000, X: 17.100292, Y: 3.185315, Z: 5.036396, PITCH: 0.035882, YAW: -2.811818
TIMESTAMP: 20.600000, X: 17.177537, Y: 3.143231, Z: 5.134951, PITCH: 0.030047, YAW: -2.819667
TIMESTAMP: 20.700000, X: 17.249692, Y: 3.107302, Z: 5.234147, PITCH: 0.024247, YAW: -2.827529
TIMESTAMP: 20.800000, X: 17.316657, Y: 3.077747, Z: 5.333958, PITCH: 0.018559, YAW: -2.835433
TIMESTAMP: 20.900000, X: 17.378346, Y: 3.054772, Z: 5.434350, PITCH: 0.012804, YAW: -2.843312
TIMESTAMP: 21.000000, X: 17.434688, Y: 3.038563, Z: 5.535286, PITCH: 0.006842, YAW: -2.851112
TIMESTAMP: 21.100000, X: 17.485628, Y: 3.029285, Z: 5.636722, PITCH: 0.001004, YAW: -2.858960
TIMESTAMP: 21.200000, X: 17.531127, Y: 3.027083, Z: 5.738606, PITCH: -0.004448, YAW: -2.866953
TIMESTAMP: 21.300000, X: 17.571164, Y: 3.032080, Z: 5.840884, PITCH: -0.010132, YAW: -2.874859
TIMESTAMP: 21.400000, X: 17.605733, Y: 3.044375, Z: 5.943495, PITCH: -0.016530, YAW: -2.882495
TIMESTAMP: 21.500000, X: 17.634849, Y: 3.064043, Z: 6.046371, PITCH: -0.022490, YAW: -2.890297
TIMESTAMP: 21.600000, X: 17.658540, Y: 3.091135, Z: 6.149444, PITCH: -0.027181, YAW: -2.898577
TIMESTAMP: 21.700000, X: 17.676854, Y: 3.125675, Z: 6.252637, PITCH: -0.032736, YAW: -2.906532
TIMESTAMP: 21.800000, X: 17.689856, Y: 3.167663, Z: 6.355872, PITCH: -0.039980, YAW: -2.913849
TIMESTAMP: 21.900000, X: 17.697628, Y: 3.217070, Z: 6.459067, PITCH: -0.043257, YAW: -2.922663
TIMESTAMP: 22.000000, X: 17.700270, Y: 3.273843, Z: 6.562137, PITCH: -0.038615, YAW: -2.934468
TIMESTAMP: 22.100000, X: 17.697896, Y: 3.337899, Z: 6.664994, PITCH: -0.031274, YAW: -2.947292
TIMESTAMP: 22.200000, X: 17.690638, Y: 3.409132, Z: 6.767550, PITCH: -0.026670, YAW: -2.959083
TIMESTAMP: 22.300000, X: 17.678643, Y: 3.487406, Z: 6.869714, PITCH: -0.023503, YAW: -2.970331
TIMESTAMP: 22.400000, X: 17.662073, Y: 3.572558, Z: 6.971397, PITCH: -0.018995, YAW: -2.982085
